COLETA,DATA,PONTO,DBO (mg/L),COP (mg/L),COD (mg/L),N-NH4 (mg/L),N-Org (mg/L),N-NO2 (mg/L),N-NO3 (mg/L),NT (mg/L),PT (mg/L),P-PO4 (mg/L),OD (mg/L),Cafeína,Estradiol,Etinilestradiol,Estrona
27,22/09/2009,IG6,5.6,,6.10,4.80,1.29,0.10,0.26,6.44,0.41,0.12,2.6,,,,
28,01/12/2009,IG6,2.8,,7.67,0.71,0.17,0.10,0.62,1.60,0.19,0.07,2.7,,,,
29,27/01/2010,IG6,1.7,,8.00,0.34,0.84,0.07,0.68,1.92,0.08,0.01,2.8,,,,
30,17/03/2010,IG6,6.7,,5.41,1.99,0.25,0.10,0.53,2.87,0.24,0.06,1.8,,,,
31,22/04/2010,IG6,,,,,,,,,,,,,,,
32,09/06/2010,IG6,2.6,,4.46,0.84,1.28,0.09,0.66,2.87,0.29,0.03,4.3,,,,
33,19/08/2010,IG6,4.0,,3.13,4.30,1.57,0.05,0.44,6.36,0.78,0.03,3.5,,,,
34,20/10/2010,IG6,3.6,,4.79,3.91,3.36,0.07,0.64,7.98,0.62,0.20,2.0,,,,
35,24/11/2010,IG6,5.5,,6.84,3.16,4.93,0.13,0.37,8.60,0.57,0.10,1.4,,,,
36,23/03/2011,IG6,,,5.25,1.62,1.27,0.10,0.47,3.46,0.36,0.08,2.9,,,,
37,24/08/2011,IG6,4.0,,3.44,1.64,0.96,0.09,0.78,3.52,1.41,0.04,4.1,,,,
38,26/10/2011,IG6,,,,5.15,0.93,0.00,0.18,6.27,0.34,0.14,1.4,,,,
39,28/08/2012,IG6,12.0,8.99,6.00,5.51,3.13,0.01,0.00,8.66,0.79,0.42,,,,,
40,02/10/2012,IG6,9.0,11.93,5.45,3.69,4.51,0.02,0.26,8.47,0.72,0.33,1.7,,,,
41,24/10/2012,IG6,8.0,7.72,3.49,1.62,3.83,0.29,0.87,6.62,0.70,0.05,0.1,,,,
42,21/11/2012,IG6,14.0,,4.67,1.74,8.40,0.06,0.20,10.39,0.38,0.37,2.8,,,,
43,12/12/2012,IG6,16.0,,4.40,0.82,6.78,0.05,0.20,7.86,0.44,0.08,1.4,,,,
44,01/05/2013,IG6,7.0,2.84,5.93,7.43,-6.11,0.02,0.10,1.44,0.47,0.18,2.0,,,,
45,17/07/2013,IG6,11.0,2.87,4.27,4.13,,0.09,0.83,9.41,0.53,0.17,3.4,,,,
46,10/09/2013,IG6,11.0,0.68,5.21,9.99,5.06,0.11,0.97,16.03,0.83,0.29,1.4,,,,
47,21/10/2013,IG6,11.0,0.79,4.97,1.77,4.53,0.07,1.21,7.59,0.77,0.22,1.3,,,,
48,05/12/2013,IG6,8.0,1.35,2.46,1.93,6.31,0.04,0.28,8.56,0.41,0.10,2.3,,,,
49,31/03/2014,IG6,4.0,0.93,4.03,0.61,7.15,0.02,0.50,7.67,1.56,0.34,3.4,3.682,0.301,1.371,ND
